is_weekend,lag_7,rolling_mean_7,ewm_7,sin_day_of_week,cos_day_of_week,diff_1,actual
1,700.0,479.85714285714283,558.7129516601562,-0.7818314824680299,0.6234898018587334,-110.0,428
0,253.0,485.14285714285717,491.5347137451172,0.0,1.0,-138.0,290
0,318.0,468.0,418.1510353088379,0.7818314824680298,0.6234898018587336,-92.0,198
0,319.0,479.2857142857143,413.1132764816284,0.9749279121818236,-0.22252093395631434,200.0,398
0,265.0,481.42857142857144,379.8349573612213,0.43388373911755823,-0.900968867902419,-118.0,280
0,1238.0,316.14285714285717,305.126218020916,-0.433883739117558,-0.9009688679024191,-199.0,81
1,538.0,257.85714285714283,261.344663515687,-0.9749279121818236,-0.2225209339563146,49.0,130
1,428.0,222.14285714285714,240.50849763676524,-0.7818314824680299,0.6234898018587334,48.0,178
0,290.0,197.57142857142858,209.88137322757393,0.0,1.0,-60.0,118
0,198.0,194.71428571428572,201.91102992068045,0.7818314824680298,0.6234898018587336,60.0,178
0,398.0,166.14285714285714,200.93327244051034,0.9749279121818236,-0.22252093395631434,20.0,198
0,280.0,135.85714285714286,167.69995433038275,0.43388373911755823,-0.900968867902419,-130.0,68
0,81.0,128.28571428571428,132.77496574778706,-0.433883739117558,-0.9009688679024191,-40.0,28
1,130.0,116.71428571428571,111.8312243108403,-0.9749279121818236,-0.2225209339563146,21.0,49
1,178.0,98.71428571428571,96.87341823313022,-0.7818314824680299,0.6234898018587334,3.0,52
0,118.0,121.85714285714286,142.65506367484767,0.0,1.0,228.0,280
0,178.0,110.42857142857143,131.49129775613574,0.7818314824680298,0.6234898018587336,-182.0,98
0,198.0,131.85714285714286,185.6184733171018,0.9749279121818236,-0.22252093395631434,250.0,348
0,68.0,131.42857142857142,155.46385498782635,0.43388373911755823,-0.900968867902419,-283.0,65
0,28.0,335.42857142857144,480.5978912408698,-0.433883739117558,-0.9009688679024191,1391.0,1456
1,49.0,336.14285714285717,373.94841843065234,-0.9749279121818236,-0.2225209339563146,-1402.0,54
1,52.0,345.0,308.96131382298927,-0.7818314824680299,0.6234898018587334,60.0,114
0,280.0,316.14285714285717,251.22098536724195,0.0,1.0,-36.0,78
0,98.0,344.7142857142857,262.91573902543144,0.7818314824680298,0.6234898018587336,220.0,298
0,348.0,337.57142857142856,271.6868042690736,0.9749279121818236,-0.22252093395631434,0.0,298
0,65.0,369.57142857142856,276.01510320180523,0.43388373911755823,-0.900968867902419,-9.0,289
0,1456.0,168.0,218.26132740135392,-0.433883739117558,-0.9009688679024191,-244.0,45
1,54.0,214.28571428571428,258.19599555101547,-0.9749279121818236,-0.2225209339563146,333.0,378
1,114.0,310.0,389.6469966632616,-0.7818314824680299,0.6234898018587334,406.0,784
0,78.0,318.7142857142857,326.98524749744615,0.0,1.0,-645.0,139
0,298.0,302.85714285714283,291.9889356230846,0.7818314824680298,0.6234898018587336,48.0,187
0,298.0,287.2857142857143,266.24170171731345,0.9749279121818236,-0.22252093395631434,2.0,189
0,289.0,274.2857142857143,249.1812762879851,0.43388373911755823,-0.900968867902419,9.0,198
0,45.0,313.42857142857144,266.6359572159888,-0.433883739117558,-0.9009688679024191,121.0,319
1,378.0,308.85714285714283,286.4769679119916,-0.9749279121818236,-0.2225209339563146,27.0,346
1,784.0,209.57142857142858,237.10772593399372,-0.7818314824680299,0.6234898018587334,-257.0,89
0,139.0,229.85714285714286,248.0807944504953,0.0,1.0,192.0,281
0,187.0,262.57142857142856,290.06059583787146,0.7818314824680298,0.6234898018587336,135.0,416
0,189.0,289.57142857142856,312.0454468784036,0.9749279121818236,-0.22252093395631434,-38.0,378
0,198.0,280.57142857142856,267.78408515880267,0.43388373911755823,-0.900968867902419,-243.0,135
0,319.0,247.71428571428572,223.088063869102,-0.433883739117558,-0.9009688679024191,-46.0,89
1,346.0,210.85714285714286,189.3160479018265,-0.9749279121818236,-0.2225209339563146,-1.0,88
