year,day_of_week,is_weekend,ewm_7,sin_day_of_week,diff_1,month,is_covid_initial,is_covid_restriction,is_covid_recovery
2024,0,0,588.25,0.0,-447.0,9,0,0,0
2024,1,0,520.6875,0.7818314824680298,65.0,9,0,0,0
2024,2,0,470.265625,0.9749279121818236,1.0,9,0,0,0
2024,3,0,418.94921875,0.43388373911755823,-54.0,9,0,0,0
2024,4,0,623.7119140625,-0.433883739117558,973.0,9,0,0,0
2024,5,1,602.283935546875,-0.9749279121818236,-700.0,9,0,0,0
2024,6,1,558.7129516601562,-0.7818314824680299,-110.0,9,0,0,0
2024,0,0,491.5347137451172,0.0,-138.0,9,0,0,0
2024,1,0,418.1510353088379,0.7818314824680298,-92.0,9,0,0,0
2024,2,0,413.1132764816284,0.9749279121818236,200.0,9,0,0,0
2024,3,0,379.8349573612213,0.43388373911755823,-118.0,9,0,0,0
2024,4,0,305.126218020916,-0.433883739117558,-199.0,9,0,0,0
2024,5,1,261.344663515687,-0.9749279121818236,49.0,9,0,0,0
2024,6,1,240.50849763676524,-0.7818314824680299,48.0,9,0,0,0
2024,0,0,209.88137322757393,0.0,-60.0,9,0,0,0
2024,1,0,201.91102992068045,0.7818314824680298,60.0,9,0,0,0
2024,2,0,200.93327244051034,0.9749279121818236,20.0,9,0,0,0
2024,3,0,167.69995433038275,0.43388373911755823,-130.0,9,0,0,0
2024,4,0,132.77496574778706,-0.433883739117558,-40.0,9,0,0,0
2024,5,1,111.8312243108403,-0.9749279121818236,21.0,9,0,0,0
2024,6,1,96.87341823313022,-0.7818314824680299,3.0,9,0,0,0
2024,0,0,142.65506367484767,0.0,228.0,9,0,0,0
2024,1,0,131.49129775613574,0.7818314824680298,-182.0,9,0,0,0
2024,2,0,185.6184733171018,0.9749279121818236,250.0,9,0,0,0
2024,3,0,155.46385498782635,0.43388373911755823,-283.0,9,0,0,0
2024,4,0,480.5978912408698,-0.433883739117558,1391.0,9,0,0,0
